page_title,title,url
Mystery,Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Mystery,"In a Dark, Dark Wood",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Mystery,The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
Mystery,A Murder in Time,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
Mystery,The Last Mile (Amos Decker #2),https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
Mystery,That Darkness (Gardiner and Renner #1),https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
Mystery,Tastes Like Fear (DI Marnie Rome #3),https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
Mystery,A Time of Torment (Charlie Parker #14),https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
Mystery,A Study in Scarlet (Sherlock Holmes #1),https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Mystery,Poisonous (Max Revere Novels #3),https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Mystery,Most Wanted,https://books.toscrape.com/catalogue/most-wanted_623/index.html
Mystery,Hide Away (Eve Duncan #20),https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Mystery,Boar Island (Anna Pigeon #19),https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
Mystery,The Widow,https://books.toscrape.com/catalogue/the-widow_609/index.html
Mystery,Playing with Fire,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Mystery,Delivering the Truth (Quaker Midwife Mystery #1),https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
Mystery,In the Woods (Dublin Murder Squad #1),https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
Mystery,The Silkworm (Cormoran Strike #2),https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
Mystery,The Exiled,https://books.toscrape.com/catalogue/the-exiled_247/index.html
Mystery,The Cuckoo's Calling (Cormoran Strike #1),https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
Mystery,Extreme Prey (Lucas Davenport #26),https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html
Mystery,Career of Evil (Cormoran Strike #3),https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
Mystery,The Girl You Lost,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
Mystery,The Girl In The Ice (DCI Erika Foster #1),https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
Mystery,Blood Defense (Samantha Brinkman #1),https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html
Mystery,1st to Die (Women's Murder Club #1),https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
